"","Year","Team","ThreeOrTwo","FGA"
"249",2004,"Los Angeles Clippers","THREEPA",12.5
"250",2004,"Minnesota Timberwolves","THREEPA",10.9
"251",2004,"Phoenix Suns","THREEPA",14.7
"252",2004,"Orlando Magic","THREEPA",15.2
"253",2004,"Golden State Warriors","THREEPA",15.6
"254",2004,"Cleveland Cavaliers","THREEPA",9.6
"255",2004,"Atlanta Hawks","THREEPA",15.2
"256",2004,"New York Knicks","THREEPA",13.6
"257",2004,"New Orleans Hornets","THREEPA",20.3
"258",2004,"Washington Wizards","THREEPA",15.5
"259",2004,"San Antonio Spurs","THREEPA",13.9
"260",2004,"Indiana Pacers","THREEPA",15.6
"261",2004,"Portland Trail Blazers","THREEPA",13.4
"262",2004,"Miami Heat","THREEPA",16.5
"263",2004,"New Jersey Nets","THREEPA",13.7
"264",2004,"Detroit Pistons","THREEPA",11.8
"265",2004,"Houston Rockets","THREEPA",17.1
"266",2004,"Chicago Bulls","THREEPA",15.3
"267",2004,"Utah Jazz","THREEPA",9.6
"268",2004,"Philadelphia 76ers","THREEPA",12.1
"269",2004,"Toronto Raptors","THREEPA",15.8
"270",2004,"League Average","THREEPA",14.9
"271",2005,"Phoenix Suns","THREEPA",24.7
"272",2005,"Sacramento Kings","THREEPA",17
"273",2005,"Dallas Mavericks","THREEPA",15.5
"274",2005,"Miami Heat","THREEPA",15.4
"275",2005,"Boston Celtics","THREEPA",15.3
"276",2005,"Washington Wizards","THREEPA",18.3
"277",2005,"Toronto Raptors","THREEPA",20.5
"278",2005,"Denver Nuggets","THREEPA",11.5
"279",2005,"Orlando Magic","THREEPA",11.2
"280",2005,"Philadelphia 76ers","THREEPA",17.7
"281",2005,"Seattle SuperSonics","THREEPA",22.2
"282",2005,"Los Angeles Lakers","THREEPA",22.1
"283",2005,"Golden State Warriors","THREEPA",21.6
"284",2005,"New York Knicks","THREEPA",15.1
"285",2005,"Milwaukee Bucks","THREEPA",11.3
"286",2005,"Minnesota Timberwolves","THREEPA",14
"287",2005,"Cleveland Cavaliers","THREEPA",11
"288",2005,"San Antonio Spurs","THREEPA",17
"289",2005,"Los Angeles Clippers","THREEPA",8.2
"290",2005,"Houston Rockets","THREEPA",18.5
"291",2005,"Chicago Bulls","THREEPA",17.5
"292",2005,"Charlotte Bobcats","THREEPA",10.7
"293",2005,"Memphis Grizzlies","THREEPA",18.1
