Year,Team,G,MP,FG,FGA,FGP,THREEPM,THREEPA,THREEPP,TWOPM,TWOPA,TWOPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GW
1999,Washington Wizards,50,241,35.4,79.4,0.445,3.6,11.6,0.309,31.8,67.8,0.469,16.9,24,0.705,11.9,28.1,40,21.3,7.9,3.9,14.7,23,91.2,18
1999,Toronto Raptors,50,241.5,33.2,78.8,0.421,4.5,13.2,0.341,28.7,65.6,0.437,20.2,26.6,0.76,14.2,28.9,43.2,20.7,8.8,6.4,16,22.8,91.1,23
1999,Los Angeles Clippers,50,242.5,34.2,80.1,0.427,4.3,13.4,0.32,29.9,66.8,0.448,17.7,24.5,0.721,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5,90.4,9
1999,Detroit Pistons,50,241,33.2,74.3,0.447,5,13.6,0.365,28.2,60.7,0.465,19,25.7,0.74,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8,90.4,29
1999,Philadelphia 76ers,50,243,33.1,77.7,0.426,2,7.4,0.264,31.2,70.2,0.444,21.5,29.7,0.722,14.6,28.6,43.1,18.7,10.8,5.4,16.4,23,89.7,28
1999,Orlando Magic,50,241,33.7,78.9,0.428,4.5,13.5,0.33,29.3,65.4,0.448,17.5,25,0.7,13.8,28.9,42.7,21.3,9.9,4.3,16.4,18.7,89.5,33
1999,Miami Heat,50,240.5,32.3,71.3,0.453,5.8,16.1,0.359,26.5,55.2,0.481,18.6,25.2,0.735,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7,89,33
1999,Vancouver Grizzlies,50,243.5,32.9,76.8,0.428,3,9.1,0.327,29.9,67.7,0.442,20.2,28.2,0.717,13,27.2,40.2,19.3,8.4,4,17,22.5,88.9,8
1999,Golden State Warriors,50,242.5,34.6,83.5,0.415,3.2,11.3,0.287,31.4,72.2,0.435,15.9,23.5,0.676,16.3,31.2,47.5,20.7,8.3,4.4,15.4,25.4,88.3,21
1999,Cleveland Cavaliers,50,241,31.2,71.2,0.439,3.6,10.7,0.341,27.6,60.5,0.456,20.3,27.1,0.749,9.4,26.3,35.8,21.9,9,4.1,15.7,24.2,86.4,22
1999,New York Knicks,50,242,32.2,74.1,0.435,4.2,11.8,0.353,28,62.3,0.45,17.8,24.4,0.732,11,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4,27
1999,Atlanta Hawks,50,241.5,30.8,75.2,0.409,3.9,12.9,0.306,26.8,62.3,0.431,20.8,28.4,0.731,13.5,30,43.5,15.6,6.9,5.2,14.9,19.7,86.3,31
1999,Chicago Bulls,50,241.5,30.8,76.7,0.401,3.5,12.2,0.289,27.2,64.5,0.422,16.8,23.7,0.709,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2,81.9,13
2000,Sacramento Kings,82,241.5,40,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,18.5,24.6,0.754,12.9,32.1,45,23.8,9.6,4.6,16.2,21.1,105,44
2000,Detroit Pistons,82,241.8,37.1,80.9,0.459,5.4,14.9,0.359,31.8,66,0.481,23.9,30.6,0.781,11.2,30,41.2,20.8,8.1,3.3,15.7,24.5,103.5,42
2000,Dallas Mavericks,82,240.6,39,85.9,0.453,6.3,16.2,0.391,32.6,69.8,0.468,17.2,21.4,0.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4,40
2000,Indiana Pacers,82,240.6,37.2,81,0.459,7.1,18.1,0.392,30,62.8,0.478,19.9,24.5,0.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3,56
2000,Milwaukee Bucks,82,242.1,38.7,83.3,0.465,4.8,13,0.369,33.9,70.2,0.483,19,24.2,0.786,12.4,28.9,41.3,22.6,8.2,4.6,15,24.6,101.2,42
2000,Los Angeles Lakers,82,241.5,38.3,83.4,0.459,4.2,12.8,0.329,34.1,70.6,0.482,20.1,28.9,0.696,13.6,33.4,47,23.4,7.5,6.5,13.9,22.5,100.8,67
